,activite,code_ape
181,"Épicerie, commerce de produits alimentaires et non alimentaires, traiteur, restauration sur place ou à emporter.",47.11B
182,"Un fonds de commerce de fabrication et vente à emporter de pizzas, vente de viennoiseries et boissons alcoolisées et non alcoolisées",56.10C
183,Boucherie épicerie,47.22Z
184,Marchands de vins brasserie gérance de débit de tabac validation de la française des jeux.,47.25Z
185,"La restauration rapide: La vente au comptoir des aliments et des boissons présentés dans des conditionnements jetables que l'on peut consommer sur place ou emporter et la vente au comptoir des aliments et des boissons présentés dans des conditionnements jetables et/ou à fabriquer ou pré-cuisiner ; et toutes opérations industrielles, commerciales, financières, mobilières ou immobilières, se rapportant directement ou indirectement à l'objet social ou susceptibles d'en favoriser le développement.",56.10C
186,Activités des centres de culture physique,93.13Z
187,Bar-restaurant,56.30Z
188,Coursier livraison de repas et colis à vélo; activité de surveillance humaine et électronique; activité de prévention et de sécurité.,53.20Z
189,E-commerce de vente de vêtements en détail sur un site internet.,APE Non Diffusable
190,Coursier à vélo Coursier motorisé,47.89Z
191,Coursier à vélo,53.20Z
192,Chef de cuisine privé : préparation de repas au domicile des clients.,56.21Z
193,Activités des agents et courtiers d'assurances.,66.22Z
194,"Production et réalisation de vidéos, conseil et support en informatique.",59.11B
195,Livraison de repas a vélo.,53.20Z
196,Achat vente de produit d'occasion - économie circulaire - antiquité.,47.79Z
197,Livraison de repas et de courses à domicile à vélo.,53.20Z
198,Coursier à vélo.,53.20Z
199,Vente sur catalogue spécialisé en photographie. Vente d'accessoires numériques photos non réglementés.,74.20Z
200,Coursier à vélo.,53.20Z
201,"E-commerce achat et vente de logiciels Cao et Dao, prestations de services aux particuliers et aux entreprises, conseil en architecture, conception et dessins de plans en 2d et 3d, cours de dessin bâtiment assistés par ordinateur.",74.90B
202,Commerce de détail sur internet,47.91A
203,"E-commerce, prestations de services, Analytics, fibre optique.",47.91B
204,Livraison de repas à domicile à vélo.,56.10C
205,"Vente de prestations dans le domaine du développement Web. Développement de sites internet, mise à jour de sites.",63.12Z
206,Livraison de repas à domicile,53.20Z
207,Livreur de repas à vélo.,53.20Z
208,Vente à distance et en ligne de produits informatiques et téléphoniques.,47.91B
209,Livreur de repas à domicile (non motorisé).,53.20Z
210,Coursier à vélo,53.20Z
211,Vente & location d'équipement téléphonique,85.53Z
212,Coursier à vélo.,53.20Z
213,Coursier à vélo.,53.20Z
214,Conseil et gestion des entreprises. Vente de prestations de mise en rayon et gestion de caisse aux entreprises.,70.22Z
215,Vente en non sédentaire de brocante de tous produits non réglementés,47.89Z
216,Livraison a domicile de repas a vélo.,53.20Z
217,Exercice de la profession d'expert-comptable.,69.20Z
218,"Prestation administrative, conseil expertise",70.22Z
219,"Développement, croissance et diversification de son activité de formation et de produits qui en découlent. Préservation et amélioration de l'activité de formation des avocats mandataires en transactions immobilières. Edition juridique, mise à disposition de moyens auprès des avocats ou de leurs clients et toutes activités connexes, accessoires ou autres en relation directe ou indirecte avec l'objet social. Développer",85.59A
220,Délégation de personnel intérimaire,78.20Z
221,"Réalisation, acquisition, cession, administration, exploitation, location, gestion et cession de tous biens et/ou droits immobiliers. La gestion de ces participations et/ou intérêts.",68.20B
222,"La société a pour objet, en France et à l'étranger : services relatifs a la livraison d'aéronefs, ainsi que les activités liées a la location et sous-location des aéronefs ; ainsi que toute activité susceptible de favoriser directement ou indirectement l'objet ci-dessus.",77.35Z
223,"Alimentation générale, boucherie, bazar, produits exotiques, Import Export de tous produits non réglementés, plus généralement l'achat, la vente de tous produits manufacturés.",47.11B
224,La prise à bail de tous locaux en vue notamment d'y exercer des activités hôtelière ou Parahôtelière et plus généralement tous type de mise à disposition de locaux par tous moyens avec fourniture de services.,55.10Z
225,Restauration de type rapide,56.10C
226,"Peinture et ravalement, isolation thermique intérieur et extérieur, montage et démontage d'échafaudage, revêtement sol et mur, petite maçonnerie, Plomberie, électricité",43.34Z
227,"Gestion immobilière, gestion locative, administration de biens.",68.32A
228,non renseigné,70.10Z
229,"La mise en place d'installations électriques de tous types, courant fort et faible, Domotique.",43.21A
230,La programmation informatique pour le compte de tiers; conseil en développement et stratégie digitale; activités de formation au développement informatique.,62.01Z
231,"Les activités de transports routiers de fret interurbains, sur long distance et international ; les transports routiers de personnes ; tous types de transport et services touristiques, la conciergerie. L'exploitation de voiture de transport avec chauffeur (Vtc) et Transports de voyageurs par taxis. Toutes opérations quelconques contribuant à la réalisation de cet objet.",49.41A
232,Sponsoring,73.11Z
233,"Achat, vente, Import Export, fabrication de prêt à porter.",46.42Z
234,"Directement ou indirectement le financement, l'acquisition directe ou indirecte, par voie d'apport ou autrement et la revente de tous types d'immeubles et/ou d'ensembles immobiliers à usage logistique, commercial, de bureau, d'habitation ou autre, l'administration, l'exploitation et/ou la mise à disposition sous forme de bail ou autrement de tous types et/ou d'ensembles immobiliers à usage logistique, commercial, de bureau, d'habitation ou autre. La participation à toutes opérations financières.",68.20B
235,"Conseil pour les affaires et autres conseils de gestion. Prestations de conseil et accompagnement auprès des particuliers, des entreprises, des collectivités et autres organismes publics ou privés. Conseil en stratégie, organisation, management, gestion, commercial, ressources humaines, marketing et communication, de la conception à la mise en œuvre.",70.22Z
236,Formation professionnelle pour adultes.,85.59A
237,L'organisation et la gestion de programmes d'échange internationaux d'étudiants. Le conseil immobilier d'entreprise. La promotion et le développement du tourisme.,70.10Z
238,"La réalisation de toutes prestations de conseils, d'apports d'affaires, d'assistance opérationnelle aux entreprises et autres organisations publiques, parapubliques, et associatives en France et à l'étranger en matière de stratégie, gestion, management, recrutement, formation, ingénierie informatique, logistique, marketing, communication, vente et finance.",70.22Z
239,"Construction, bâtiment.",41.20A
240,Activité de holding.,64.20Z
241,"En France et à l'étranger, le développement de projets de centrales de production de combustibles gazeux, la production de combustibles gazeux ainsi que la production et la revente d'électricité, de gaz, de chaleur, de Digestats et compost.",35.11Z
242,"En France et à l'étranger, le développement de projets de centrales de production de combustibles gazeux, la production de combustibles gazeux ainsi que la production et la revente d'électricité, de gaz, de chaleur, de Digestats et compost",35.11Z
243,Commerce de détail de chaussures et articles liés,47.72A
244,"Acquisition, en état futur achèvement ou achevés, apport, propriété, mise en valeur, transformation, construction, aménagement, administration, location de tous biens et droits immobiliers, ainsi que de tous biens et droits accessoire, annexe ou complément des biens et droits immobiliers en question.",68.20B
